23.32	4.5	10.1	23.39	4.41	8.5	168
26.81	6.21	10.65	26.53	6.98	9.28	178
26.07	5.82	9.9	25.49	5.59	9.85	172
26.39	5.13	10.73	26.24	18.77	13.26	179
25.92	5.72	10.39	25.81	5.61	9.93	174
25.81	5.2	9.44	25.7	5.21	9.99	173
23.79	4.8	8.55	23.66	5.27	8.52	168
25.2	5.06	8.98	26.04	5.3	9.12	177
26.87	6.27	10.26	27.79	6.23	10.85	187.5
26.21	4.53	10.1	25.6	4.38	9.95	177
25.12	5.21	9.78	25.17	4.91	9.61	176
25.37	5.48	11.97	25.81	4.95	10.34	174
25.76	5.42	9.53	25.49	5.68	9.41	170
27.39	5.44	9.27	26.76	5.68	9.39	185
26.16	5.01	9.88	26.39	4.62	9.85	180
26.16	4.83	9.84	25.58	5.03	12.14	176
25.55	4.39	9.89	24.94	4.72	9.36	168
27.79	5.57	12.06	25.78	6	13.65	174
24.8	4.78	9.47	25.4	4.99	9.83	168
25.21	4.62	9.38	24.77	4.37	12.13	174
26.91	5.96	9.92	27.2	5.88	9.9	183
25.13	5.63	9.59	24.9	5.27	9.88	173.5
25.39	4.8	10.12	25.07	5	10.53	167
23.88	4.71	10.3	24.12	4.43	8.54	167
27.03	5.55	10.06	25.84	5.54	9.89	176
24.45	5.13	10.11	24.77	5.16	10.21	170
23.79	4.42	12.64	23.49	4.59	11.79	170
23.53	5	9.11	23.8	4.44	9.47	169
25.06	5.16	10.28	24.59	5.37	9.19	174
24.65	5.38	9.94	24.96	4.96	9.92	165
26.9	4.41	11.47	26.44	4.62	10.86	181
26.2	5.73	11.34	25.73	9.95	9.52	180
24.02	5.33	9.6	24.9	5.56	10.23	175
24.32	5.14	8.59	23.42	5.65	10.2	174
28.12	5.25	9.67	27.53	4.98	10.47	180
24.93	4.97	13.99	25.36	4.59	12.86	168
25.63	5.16	9.15	25.29	4.91	10.21	181
24.9	5.53	10.07	24.93	5.49	9.8	170
25.45	6.6	10.11	24.98	6.01	10.93	172
26.29	4.82	12.15	25.6	4.9	9.95	170
24.18	4.85	9.92	24.79	5.51	9.64	180
25.49	5.69	9.82	25.58	5.77	9.64	176
26.34	5.05	10.05	26.44	9.09	8.84	181
25.58	5.36	9.32	24.55	6.3	9.98	175
25.26	5.47	13.15	25.03	5.55	12.09	177
25.12	5.59	13.37	24.96	4.66	10.27	176
24.83	5.01	9.55	24.75	5.14	10.5	170
25.5	5.67	9.95	25.41	5.15	10.66	168
25.88	5.21	9.37	24.63	17.2	11.92	172
25.6	5.57	9.05	25.73	4.93	9.6	176
25.69	4.66	9.4	25.67	4.97	9.16	175
26.7	5.03	9.26	26.17	4.9	10.21	174
25.78	5.94	9.77	24.32	5.53	9.23	180
24.31	4.93	9.33	24.05	4.6	11.37	170
27.69	6.06	9.58	27.86	5.92	9.76	179
26.52	5.73	10.68	25.79	5.58	10.33	179
